subject,predicate,object,source,paper_id,chunk_id
consecutive reverse transcriptions,causes,spurious chimeric RNAs,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0047,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0047
transcription-mediated gene fusion,identifies,gene fusion,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0047,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0047
transcriptional-readthrough RNAs,indicates,"""gene(s) within a gene"" phenomenon",A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0047,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0047
56-kilobase deletion,produces,novel butyrophilin-like protein,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0047,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0047
chimeric RNA,is associated with,rhabdomyosarcoma,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0047,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0047
TopHat-Fusion,is a type of,algorithm for discovery of fusion transcripts,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0048,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0048
BLAST,is a type of,sequence alignment tool,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0048,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0048
OMIM,is a type of,knowledgebase of human genes and genetic disorders,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0048,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0048
GTEx,uses,high-quality postmortem tissue procurement,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0048,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0048
GeneCards Suite,evaluates,gene data mining and disease genome sequence analyses,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0048,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0048
PCAN,helps,disease-gene association,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0048,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0048
RNA-seq,detects,SAMD12-EXT1 fusion transcript,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0049,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0049
SAMD12-EXT1 fusion transcript,is associated with,multiple osteochondromas,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0049,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0049
EXT1 deletion,is associated with,multiple osteochondromas,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0049,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0049
EXT1,is associated with,hereditary multiple exostoses,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0049,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0049
EXT2,is associated with,hereditary multiple exostoses,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0049,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0049
mutations in EXT1 and EXT2 genes,causes,multiple exostoses,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0049,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0049
somatic mosaic deletion,causes,multiple osteochondromas,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0050,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0050
EXT,is associated with,multiple osteochondromas,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0050,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0050
mutations,is expressed in,EXT1 and EXT2,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0050,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0050
EXT1 and EXT2,is associated with,multiple osteochondromas,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0050,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0050
MOdb,characterizes,multiple osteochondromas mutations,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0050,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0050
Alu-rich genomic architecture,causes,SPAST disease-associated CNV alleles,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0050,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0050
Alu-rich genomic architecture,causes,disease-associated CNV alleles,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0051,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0051
SPAST,is associated with,diverse disease-associated CNV alleles,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0051,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0051
biallelic C2CD3 variants,is associated with,ciliopathy phenotype,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0051,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0051
three ciliopathy pedigrees,is part of,C2CD3-associated phenotype,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0051,A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019),A tailored approach to fusion transcript identification increases diagnosis of rare inherited disease (2019)_chunk0051
BOREALIS,uses,beta binomial model,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0052,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0052
BOREALIS,identifies,outlier CpG methylation,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0052,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0052
DNA sequencing,causes,genetic diagnosis,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0052,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0052
RNA-seq,produces,previously unattainable diagnoses,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0052,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0052
aberrant methylation,is associated with,rare inherited conditions,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0052,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0052
regional methylation,is associated with,disease,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0052,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0052
BOREALIS,detects,outlier methylation,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0053,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0053
BOREALIS,uses,bisulfite sequencing data,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0053,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0053
DNA methylation,is associated with,Parkinson's disease,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0053,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0053
aberrant methylation,is associated with,rare inherited conditions,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0053,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0053
next-generation sequencing,evaluates,genomic CpG sites,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0053,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0053
microarray methylation profiling,uses,DNA methylation profiling,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0053,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0053
microarray methylation profiling,is part of,DNA methylation profiling,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0054,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0054
next-generation sequencing,uses,analysis at read count-level resolution,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0054,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0054
methylation,is associated with,developmental processes,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0054,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0054
methylation,is associated with,disease,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0054,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0054
DNA sequencing,detects,genetic disease cases,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0054,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0054
RNA-seq,is associated with,DNA testing,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0054,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0054
methylation-based sequencing,uses,undiagnosed rare inherited disease,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0054,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0054
BOREALIS,uses,one vs. many outlier approach,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0055,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0055
outlier methylation,identifies,individual CpG sites,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0055,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0055
beta distribution,uses,probability of methylation,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0055,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0055
methylated reads,is a type of,Beta-Binomial distribution,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0055,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0055
DSS,uses,beta-binomial distribution,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0055,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0055
BOREALIS,uses,statistical model for outlier detection,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0055,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0055
BOREALIS,uses,gamlss library,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0056,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0056
BOREALIS,detects,outlier methylation events,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0056,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0056
Laplace Smoothing,uses,regularization step,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0056,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0056
pBB function,evaluates,p-values from Beta-Binomial distribution,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0056,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0056
Monte Carlo simulations,evaluates,performance of BOREALIS method,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0056,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0056
BOREALIS,helps,multithreaded computation,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0056,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0056
BOREALIS,detects,outlier methylation,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0057,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0057
BOREALIS beta-binomial model,evaluates,simulated cohort methylation,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0057,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0057
BOREALIS,is a type of,R/Bioconductor package,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0057,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0057
BOREALIS package vignette,uses,visual outputs,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0057,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0057
BOREALIS,identifies,outlier individuals,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0057,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0057
BOREALIS,is associated with,bisulfite sequencing-based genetic disease studies,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0057,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0057
BOREALIS,detects,outlier methylation,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0058,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0058
BOREALIS,uses,bisulfite sequencing data,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0058,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0058
R code,produces,power analysis graphs,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0058,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0058
CREB,is associated with,matrix metalloproteinase 13,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0058,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0058
CpG demethylation,activates,CREB recruitment,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0058,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0058
matrix metalloproteinase 13,is associated with,osteoarthritis,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0058,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0058
CREB,is associated with,CpG demethylation,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0059,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0059
CpG demethylation,causes,elevated expression of matrix metalloproteinase 13,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0059,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0059
Parkinson's disease,is associated with,DNA methylation levels,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0059,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0059
DNA methylation analysis,identifies,single CpG dinucleotide for ZAP-70 expression,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0059,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0059
LeafCutterMD,detects,outlier splicing in rare diseases,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0059,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0059
methylation status of single CpG site in IL6 promoter,is associated with,IL6,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0059,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0059
methylation status of single CpG site in IL6 promoter,is associated with,IL6,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0060,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0060
methylation status of single CpG site in IL6 promoter,is associated with,rheumatoid arthritis,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0060,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0060
single-site methylation,inhibits,p53 gene expression,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0060,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0060
Interleukin-4,causes,CpG site-specific demethylation of pendrin promoter,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0060,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0060
DNA methylation of RUNX2 P1 promoter,is involved in,MMP13 transcription,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0060,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0060
TGF-beta1 signaling,modifies,CpG site in TTP promoter,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0060,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0060
BOREALIS,detects,outlier methylation,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0061,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0061
bisulfite sequencing data,uses,BOREALIS,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0061,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0061
differentially methylated regions,detects,whole-genome bisulfite sequencing data,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0061,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0061
BOREALIS,is a type of,R/Bioconductor package,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0061,BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022),BOREALIS- an R:Bioconductor package to detect outlier methylation from bisulfite sequencing data (2022)_chunk0061
RNA-seq,detects,fusion transcripts,Computational Detection of Known Pathogenic Gene Fusions in a Normal Tissue Database and Implications for Genetic Disease Research (2020)_chunk0062,Computational Detection of Known Pathogenic Gene Fusions in a Normal Tissue Database and Implications for Genetic Disease Research (2020),Computational Detection of Known Pathogenic Gene Fusions in a Normal Tissue Database and Implications for Genetic Disease Research (2020)_chunk0062
fusion transcripts,is associated with,rare inherited disease,Computational Detection of Known Pathogenic Gene Fusions in a Normal Tissue Database and Implications for Genetic Disease Research (2020)_chunk0062,Computational Detection of Known Pathogenic Gene Fusions in a Normal Tissue Database and Implications for Genetic Disease Research (2020),Computational Detection of Known Pathogenic Gene Fusions in a Normal Tissue Database and Implications for Genetic Disease Research (2020)_chunk0062
fusion detection algorithms,uses,comparison to normal tissue database,Computational Detection of Known Pathogenic Gene Fusions in a Normal Tissue Database and Implications for Genetic Disease Research (2020)_chunk0062,Computational Detection of Known Pathogenic Gene Fusions in a Normal Tissue Database and Implications for Genetic Disease Research (2020),Computational Detection of Known Pathogenic Gene Fusions in a Normal Tissue Database and Implications for Genetic Disease Research (2020)_chunk0062
pathogenic fusion transcripts,is absent from,normal tissue,Computational Detection of Known Pathogenic Gene Fusions in a Normal Tissue Database and Implications for Genetic Disease Research (2020)_chunk0062,Computational Detection of Known Pathogenic Gene Fusions in a Normal Tissue Database and Implications for Genetic Disease Research (2020),Computational Detection of Known Pathogenic Gene Fusions in a Normal Tissue Database and Implications for Genetic Disease Research (2020)_chunk0062
